,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
71,0 days 01:11:04.042000,24.5,58.1,1017.7,False,28.2,282,0.4
72,0 days 01:12:04.066000,24.5,58.1,1017.7,False,28.2,282,0.4
74,0 days 01:14:04.095000,24.5,58.0,1017.8,False,28.1,276,0.5
75,0 days 01:15:04.105000,24.5,58.3,1017.8,False,28.1,334,0.4
77,0 days 01:17:04.119000,24.5,57.3,1017.7,False,28.4,336,0.4
78,0 days 01:18:04.138000,24.6,57.3,1017.7,False,28.4,336,0.4
80,0 days 01:20:04.135000,24.6,57.6,1017.8,False,28.2,273,0.4
81,0 days 01:21:04.153000,24.6,58.2,1017.7,False,28.2,277,0.5
83,0 days 01:23:04.160000,24.6,59.0,1017.7,False,27.9,296,0.4
84,0 days 01:24:04.152000,24.5,59.0,1017.7,False,27.8,282,0.5
86,0 days 01:26:04.181000,24.4,59.4,1017.7,False,27.8,288,0.5
87,0 days 01:27:04.199000,24.4,59.3,1017.8,False,27.6,292,0.5
89,0 days 01:29:04.204000,24.4,59.6,1017.9,False,27.5,290,0.5
90,0 days 01:30:04.198000,24.4,59.8,1017.9,False,27.7,283,0.4
92,0 days 01:32:04.224000,24.3,59.8,1017.9,False,27.5,282,0.4
93,0 days 01:33:04.237000,24.3,59.9,1017.8,False,27.5,295,0.5
95,0 days 01:35:04.271000,24.3,59.6,1017.8,False,27.6,284,0.5
96,0 days 01:36:04.245000,24.3,59.8,1017.8,False,27.5,318,0.5
98,0 days 01:38:04.264000,24.3,60.1,1017.8,False,27.5,301,0.3
100,0 days 01:40:04.264000,24.3,60.6,1017.8,False,27.5,283,0.4
101,0 days 01:41:04.267000,24.3,60.9,1017.8,False,27.5,276,0.4
103,0 days 01:43:04.276000,24.3,61.0,1017.9,False,27.3,289,0.4
104,0 days 01:44:04.274000,24.3,61.1,1017.8,False,27.3,281,0.4
106,0 days 01:46:04.275000,24.3,61.5,1017.9,False,27.2,303,0.3
107,0 days 01:47:04.279000,24.3,61.4,1017.8,False,27.3,296,0.3
109,0 days 01:49:04.276000,24.3,61.7,1017.8,False,27.2,301,0.3
110,0 days 01:50:04.276000,24.3,61.7,1017.8,False,27.2,301,0.3
112,0 days 01:52:04.281000,24.1,61.9,1017.8,False,27.2,283,0.3
113,0 days 01:53:04.275000,24.1,62.1,1017.8,False,27.0,285,0.4
115,0 days 01:55:04.276000,24.2,62.5,1017.9,False,26.9,281,0.4
116,0 days 01:56:04.278000,24.2,62.7,1017.8,False,26.8,281,0.3
118,0 days 01:58:04.277000,23.9,63.0,1017.9,False,26.6,283,0.4
120,0 days 02:00:04.278000,23.8,63.6,1017.9,False,26.6,280,0.3
121,0 days 02:01:04.276000,23.8,64.2,1017.9,False,26.4,287,0.3
123,0 days 02:03:04.277000,23.8,64.3,1018.0,False,26.3,281,0.3
124,0 days 02:04:04.279000,23.8,64.3,1018.0,False,26.3,281,0.3
126,0 days 02:06:04.276000,23.8,64.4,1018.0,False,26.4,275,0.4
127,0 days 02:07:04.278000,23.8,64.6,1018.0,False,26.3,282,0.4
129,0 days 02:09:04.273000,23.7,64.6,1018.0,False,26.3,282,0.3
130,0 days 02:10:04.281000,23.7,64.6,1018.0,False,26.3,282,0.3
132,0 days 02:12:04.276000,23.8,64.6,1017.9,False,26.3,280,0.3
133,0 days 02:13:04.284000,23.8,64.8,1018.0,False,26.3,280,0.2
135,0 days 02:15:04.303000,23.8,64.8,1018.0,False,26.3,304,0.3
136,0 days 02:16:04.276000,23.8,64.9,1018.0,False,26.3,281,0.3
138,0 days 02:18:04.277000,23.8,64.7,1018.0,False,26.2,286,0.3
139,0 days 02:19:04.283000,23.8,64.5,1018.0,False,26.2,288,0.3
141,0 days 02:21:04.279000,23.8,64.3,1017.9,False,25.9,292,0.3
142,0 days 02:22:04.277000,23.7,64.3,1017.9,False,25.9,292,0.3
144,0 days 02:24:04.282000,23.7,64.6,1018.0,False,26.0,281,0.2
147,0 days 02:27:04.326000,23.7,64.1,1018.1,False,25.9,346,0.4
149,0 days 02:29:04.332000,23.7,64.6,1018.1,False,25.8,273,0.4
151,0 days 02:31:04.322000,23.7,64.9,1018.0,False,25.8,275,0.3
153,0 days 02:33:04.331000,23.5,65.2,1018.1,False,25.7,290,0.2
63,0 days 01:03:04.027000,24.6,58.0,1017.6,False,28.4,276,0.4
64,0 days 01:04:04.026000,24.6,58.0,1017.6,False,28.4,276,0.4
66,0 days 01:06:04.030000,24.6,57.6,1017.7,False,28.7,308,0.3
67,0 days 01:07:04.044000,24.6,57.5,1017.8,False,28.4,286,0.6
69,0 days 01:09:04.041000,24.5,58.3,1017.7,False,28.4,331,0.5
70,0 days 01:10:04.048000,24.5,58.3,1017.7,False,28.4,331,0.5
72,0 days 01:12:04.066000,24.5,58.1,1017.7,False,28.2,282,0.4
73,0 days 01:13:04.073000,24.5,58.0,1017.8,False,28.1,276,0.5
75,0 days 01:15:04.105000,24.5,58.3,1017.8,False,28.1,334,0.4
76,0 days 01:16:04.104000,24.5,58.3,1017.8,False,28.1,334,0.4
78,0 days 01:18:04.138000,24.6,57.3,1017.7,False,28.4,336,0.4
79,0 days 01:19:04.138000,24.6,57.6,1017.8,False,28.2,273,0.4
81,0 days 01:21:04.153000,24.6,58.2,1017.7,False,28.2,277,0.5
82,0 days 01:22:04.151000,24.6,59.0,1017.8,False,27.9,274,0.6
84,0 days 01:24:04.152000,24.5,59.0,1017.7,False,27.8,282,0.5
85,0 days 01:25:04.174000,24.5,59.4,1017.7,False,27.8,283,0.6
87,0 days 01:27:04.199000,24.4,59.3,1017.8,False,27.6,292,0.5
88,0 days 01:28:04.198000,24.4,59.8,1017.8,False,27.6,279,0.3
90,0 days 01:30:04.198000,24.4,59.8,1017.9,False,27.7,283,0.4
91,0 days 01:31:04.202000,24.4,60.0,1017.8,False,27.5,280,0.5
93,0 days 01:33:04.237000,24.3,59.9,1017.8,False,27.5,295,0.5
95,0 days 01:35:04.271000,24.3,59.6,1017.8,False,27.6,284,0.5
96,0 days 01:36:04.245000,24.3,59.8,1017.8,False,27.5,318,0.5
98,0 days 01:38:04.264000,24.3,60.1,1017.8,False,27.5,301,0.3
99,0 days 01:39:04.260000,24.3,60.4,1017.8,False,27.5,282,0.5
101,0 days 01:41:04.267000,24.3,60.9,1017.8,False,27.5,276,0.4
102,0 days 01:42:04.292000,24.3,61.3,1017.8,False,27.5,276,0.3
104,0 days 01:44:04.274000,24.3,61.1,1017.8,False,27.3,281,0.4
105,0 days 01:45:04.472000,24.3,61.5,1017.9,False,27.3,277,0.4
107,0 days 01:47:04.279000,24.3,61.4,1017.8,False,27.3,296,0.3
108,0 days 01:48:04.282000,24.3,61.6,1017.8,False,27.3,287,0.4
110,0 days 01:50:04.276000,24.3,61.7,1017.8,False,27.2,301,0.3
111,0 days 01:51:04.275000,24.3,61.9,1017.8,False,27.2,283,0.3
113,0 days 01:53:04.275000,24.1,62.1,1017.8,False,27.0,285,0.4
114,0 days 01:54:04.277000,24.2,62.4,1017.8,False,27.0,278,0.4
116,0 days 01:56:04.278000,24.2,62.7,1017.8,False,26.8,281,0.3
118,0 days 01:58:04.277000,23.9,63.0,1017.9,False,26.6,283,0.4
119,0 days 01:59:04.280000,23.9,63.6,1017.9,False,26.6,280,0.3
121,0 days 02:01:04.276000,23.8,64.2,1017.9,False,26.4,287,0.3
122,0 days 02:02:04.285000,23.8,64.2,1017.9,False,26.4,287,0.3
124,0 days 02:04:04.279000,23.8,64.3,1018.0,False,26.3,281,0.3
125,0 days 02:05:04.285000,23.8,64.4,1017.9,False,26.4,307,0.4
127,0 days 02:07:04.278000,23.8,64.6,1018.0,False,26.3,282,0.4
128,0 days 02:08:04.277000,23.8,64.6,1018.0,False,26.3,282,0.4
130,0 days 02:10:04.281000,23.7,64.6,1018.0,False,26.3,282,0.3
131,0 days 02:11:04.280000,23.7,64.6,1017.9,False,26.3,325,0.3
133,0 days 02:13:04.284000,23.8,64.8,1018.0,False,26.3,280,0.2
134,0 days 02:14:04.279000,23.8,64.8,1018.0,False,26.3,280,0.2
135,0 days 02:15:04.303000,23.8,64.8,1018.0,False,26.3,304,0.3
137,0 days 02:17:04.276000,23.8,64.7,1018.0,False,26.2,286,0.3
138,0 days 02:18:04.277000,23.8,64.7,1018.0,False,26.2,286,0.3
140,0 days 02:20:04.275000,23.8,64.7,1018.1,False,26.2,280,0.4
141,0 days 02:21:04.279000,23.8,64.3,1017.9,False,25.9,292,0.3
143,0 days 02:23:04.275000,23.7,64.6,1018.0,False,26.0,281,0.2
145,0 days 02:25:04.305000,23.7,64.5,1018.1,False,25.8,317,0.3
147,0 days 02:27:04.326000,23.7,64.1,1018.1,False,25.9,346,0.4
149,0 days 02:29:04.332000,23.7,64.6,1018.1,False,25.8,273,0.4
152,0 days 02:32:04.327000,23.6,64.9,1018.0,False,25.8,275,0.3
63,0 days 01:03:04.027000,24.6,58.0,1017.6,False,28.4,276,0.4
64,0 days 01:04:04.026000,24.6,58.0,1017.6,False,28.4,276,0.4
66,0 days 01:06:04.030000,24.6,57.6,1017.7,False,28.7,308,0.3
68,0 days 01:08:04.042000,24.5,57.5,1017.8,False,28.4,286,0.6
69,0 days 01:09:04.041000,24.5,58.3,1017.7,False,28.4,331,0.5
71,0 days 01:11:04.042000,24.5,58.1,1017.7,False,28.2,282,0.4
72,0 days 01:12:04.066000,24.5,58.1,1017.7,False,28.2,282,0.4
74,0 days 01:14:04.095000,24.5,58.0,1017.8,False,28.1,276,0.5
75,0 days 01:15:04.105000,24.5,58.3,1017.8,False,28.1,334,0.4
77,0 days 01:17:04.119000,24.5,57.3,1017.7,False,28.4,336,0.4
78,0 days 01:18:04.138000,24.6,57.3,1017.7,False,28.4,336,0.4
80,0 days 01:20:04.135000,24.6,57.6,1017.8,False,28.2,273,0.4
81,0 days 01:21:04.153000,24.6,58.2,1017.7,False,28.2,277,0.5
83,0 days 01:23:04.160000,24.6,59.0,1017.7,False,27.9,296,0.4
84,0 days 01:24:04.152000,24.5,59.0,1017.7,False,27.8,282,0.5
86,0 days 01:26:04.181000,24.4,59.4,1017.7,False,27.8,288,0.5
87,0 days 01:27:04.199000,24.4,59.3,1017.8,False,27.6,292,0.5
89,0 days 01:29:04.204000,24.4,59.6,1017.9,False,27.5,290,0.5
90,0 days 01:30:04.198000,24.4,59.8,1017.9,False,27.7,283,0.4
92,0 days 01:32:04.224000,24.3,59.8,1017.9,False,27.5,282,0.4
94,0 days 01:34:04.244000,24.3,59.9,1017.9,False,27.5,279,0.3
95,0 days 01:35:04.271000,24.3,59.6,1017.8,False,27.6,284,0.5
97,0 days 01:37:04.259000,24.3,60.2,1017.9,False,27.5,275,0.4
98,0 days 01:38:04.264000,24.3,60.1,1017.8,False,27.5,301,0.3
100,0 days 01:40:04.264000,24.3,60.6,1017.8,False,27.5,283,0.4
101,0 days 01:41:04.267000,24.3,60.9,1017.8,False,27.5,276,0.4
103,0 days 01:43:04.276000,24.3,61.0,1017.9,False,27.3,289,0.4
104,0 days 01:44:04.274000,24.3,61.1,1017.8,False,27.3,281,0.4
106,0 days 01:46:04.275000,24.3,61.5,1017.9,False,27.2,303,0.3
108,0 days 01:48:04.282000,24.3,61.6,1017.8,False,27.3,287,0.4
109,0 days 01:49:04.276000,24.3,61.7,1017.8,False,27.2,301,0.3
111,0 days 01:51:04.275000,24.3,61.9,1017.8,False,27.2,283,0.3
112,0 days 01:52:04.281000,24.1,61.9,1017.8,False,27.2,283,0.3
114,0 days 01:54:04.277000,24.2,62.4,1017.8,False,27.0,278,0.4
115,0 days 01:55:04.276000,24.2,62.5,1017.9,False,26.9,281,0.4
117,0 days 01:57:04.279000,24.2,63.0,1017.9,False,26.6,283,0.4
119,0 days 01:59:04.280000,23.9,63.6,1017.9,False,26.6,280,0.3
120,0 days 02:00:04.278000,23.8,63.6,1017.9,False,26.6,280,0.3
122,0 days 02:02:04.285000,23.8,64.2,1017.9,False,26.4,287,0.3
123,0 days 02:03:04.277000,23.8,64.3,1018.0,False,26.3,281,0.3
125,0 days 02:05:04.285000,23.8,64.4,1017.9,False,26.4,307,0.4
126,0 days 02:06:04.276000,23.8,64.4,1018.0,False,26.4,275,0.4
128,0 days 02:08:04.277000,23.8,64.6,1018.0,False,26.3,282,0.4
129,0 days 02:09:04.273000,23.7,64.6,1018.0,False,26.3,282,0.3
131,0 days 02:11:04.280000,23.7,64.6,1017.9,False,26.3,325,0.3
132,0 days 02:12:04.276000,23.8,64.6,1017.9,False,26.3,280,0.3
134,0 days 02:14:04.279000,23.8,64.8,1018.0,False,26.3,280,0.2
135,0 days 02:15:04.303000,23.8,64.8,1018.0,False,26.3,304,0.3
137,0 days 02:17:04.276000,23.8,64.7,1018.0,False,26.2,286,0.3
138,0 days 02:18:04.277000,23.8,64.7,1018.0,False,26.2,286,0.3
140,0 days 02:20:04.275000,23.8,64.7,1018.1,False,26.2,280,0.4
63,0 days 01:03:04.027000,24.6,58.0,1017.6,False,28.4,276,0.4
65,0 days 01:05:04.042000,24.6,57.6,1017.7,False,28.7,308,0.3
66,0 days 01:06:04.030000,24.6,57.6,1017.7,False,28.7,308,0.3
68,0 days 01:08:04.042000,24.5,57.5,1017.8,False,28.4,286,0.6
69,0 days 01:09:04.041000,24.5,58.3,1017.7,False,28.4,331,0.5
71,0 days 01:11:04.042000,24.5,58.1,1017.7,False,28.2,282,0.4
72,0 days 01:12:04.066000,24.5,58.1,1017.7,False,28.2,282,0.4
74,0 days 01:14:04.095000,24.5,58.0,1017.8,False,28.1,276,0.5
75,0 days 01:15:04.105000,24.5,58.3,1017.8,False,28.1,334,0.4
77,0 days 01:17:04.119000,24.5,57.3,1017.7,False,28.4,336,0.4
78,0 days 01:18:04.138000,24.6,57.3,1017.7,False,28.4,336,0.4
80,0 days 01:20:04.135000,24.6,57.6,1017.8,False,28.2,273,0.4
81,0 days 01:21:04.153000,24.6,58.2,1017.7,False,28.2,277,0.5
83,0 days 01:23:04.160000,24.6,59.0,1017.7,False,27.9,296,0.4
84,0 days 01:24:04.152000,24.5,59.0,1017.7,False,27.8,282,0.5
86,0 days 01:26:04.181000,24.4,59.4,1017.7,False,27.8,288,0.5
87,0 days 01:27:04.199000,24.4,59.3,1017.8,False,27.6,292,0.5
89,0 days 01:29:04.204000,24.4,59.6,1017.9,False,27.5,290,0.5
91,0 days 01:31:04.202000,24.4,60.0,1017.8,False,27.5,280,0.5
92,0 days 01:32:04.224000,24.3,59.8,1017.9,False,27.5,282,0.4
94,0 days 01:34:04.244000,24.3,59.9,1017.9,False,27.5,279,0.3
95,0 days 01:35:04.271000,24.3,59.6,1017.8,False,27.6,284,0.5
97,0 days 01:37:04.259000,24.3,60.2,1017.9,False,27.5,275,0.4
98,0 days 01:38:04.264000,24.3,60.1,1017.8,False,27.5,301,0.3
100,0 days 01:40:04.264000,24.3,60.6,1017.8,False,27.5,283,0.4
101,0 days 01:41:04.267000,24.3,60.9,1017.8,False,27.5,276,0.4
63,0 days 01:03:04.027000,24.6,58.0,1017.6,False,28.4,276,0.4
64,0 days 01:04:04.026000,24.6,58.0,1017.6,False,28.4,276,0.4
66,0 days 01:06:04.030000,24.6,57.6,1017.7,False,28.7,308,0.3
68,0 days 01:08:04.042000,24.5,57.5,1017.8,False,28.4,286,0.6
69,0 days 01:09:04.041000,24.5,58.3,1017.7,False,28.4,331,0.5
71,0 days 01:11:04.042000,24.5,58.1,1017.7,False,28.2,282,0.4
72,0 days 01:12:04.066000,24.5,58.1,1017.7,False,28.2,282,0.4
74,0 days 01:14:04.095000,24.5,58.0,1017.8,False,28.1,276,0.5
75,0 days 01:15:04.105000,24.5,58.3,1017.8,False,28.1,334,0.4
77,0 days 01:17:04.119000,24.5,57.3,1017.7,False,28.4,336,0.4
78,0 days 01:18:04.138000,24.6,57.3,1017.7,False,28.4,336,0.4
80,0 days 01:20:04.135000,24.6,57.6,1017.8,False,28.2,273,0.4
81,0 days 01:21:04.153000,24.6,58.2,1017.7,False,28.2,277,0.5
83,0 days 01:23:04.160000,24.6,59.0,1017.7,False,27.9,296,0.4
84,0 days 01:24:04.152000,24.5,59.0,1017.7,False,27.8,282,0.5
86,0 days 01:26:04.181000,24.4,59.4,1017.7,False,27.8,288,0.5
87,0 days 01:27:04.199000,24.4,59.3,1017.8,False,27.6,292,0.5
89,0 days 01:29:04.204000,24.4,59.6,1017.9,False,27.5,290,0.5
90,0 days 01:30:04.198000,24.4,59.8,1017.9,False,27.7,283,0.4
92,0 days 01:32:04.224000,24.3,59.8,1017.9,False,27.5,282,0.4
93,0 days 01:33:04.237000,24.3,59.9,1017.8,False,27.5,295,0.5
95,0 days 01:35:04.271000,24.3,59.6,1017.8,False,27.6,284,0.5
97,0 days 01:37:04.259000,24.3,60.2,1017.9,False,27.5,275,0.4
98,0 days 01:38:04.264000,24.3,60.1,1017.8,False,27.5,301,0.3
100,0 days 01:40:04.264000,24.3,60.6,1017.8,False,27.5,283,0.4
63,0 days 01:03:04.027000,24.6,58.0,1017.6,False,28.4,276,0.4
64,0 days 01:04:04.026000,24.6,58.0,1017.6,False,28.4,276,0.4
66,0 days 01:06:04.030000,24.6,57.6,1017.7,False,28.7,308,0.3
67,0 days 01:07:04.044000,24.6,57.5,1017.8,False,28.4,286,0.6
69,0 days 01:09:04.041000,24.5,58.3,1017.7,False,28.4,331,0.5
70,0 days 01:10:04.048000,24.5,58.3,1017.7,False,28.4,331,0.5
72,0 days 01:12:04.066000,24.5,58.1,1017.7,False,28.2,282,0.4
74,0 days 01:14:04.095000,24.5,58.0,1017.8,False,28.1,276,0.5
75,0 days 01:15:04.105000,24.5,58.3,1017.8,False,28.1,334,0.4
77,0 days 01:17:04.119000,24.5,57.3,1017.7,False,28.4,336,0.4
78,0 days 01:18:04.138000,24.6,57.3,1017.7,False,28.4,336,0.4
80,0 days 01:20:04.135000,24.6,57.6,1017.8,False,28.2,273,0.4
81,0 days 01:21:04.153000,24.6,58.2,1017.7,False,28.2,277,0.5
83,0 days 01:23:04.160000,24.6,59.0,1017.7,False,27.9,296,0.4
84,0 days 01:24:04.152000,24.5,59.0,1017.7,False,27.8,282,0.5
86,0 days 01:26:04.181000,24.4,59.4,1017.7,False,27.8,288,0.5
87,0 days 01:27:04.199000,24.4,59.3,1017.8,False,27.6,292,0.5
89,0 days 01:29:04.204000,24.4,59.6,1017.9,False,27.5,290,0.5
90,0 days 01:30:04.198000,24.4,59.8,1017.9,False,27.7,283,0.4
92,0 days 01:32:04.224000,24.3,59.8,1017.9,False,27.5,282,0.4
93,0 days 01:33:04.237000,24.3,59.9,1017.8,False,27.5,295,0.5
95,0 days 01:35:04.271000,24.3,59.6,1017.8,False,27.6,284,0.5
96,0 days 01:36:04.245000,24.3,59.8,1017.8,False,27.5,318,0.5
98,0 days 01:38:04.264000,24.3,60.1,1017.8,False,27.5,301,0.3
99,0 days 01:39:04.260000,24.3,60.4,1017.8,False,27.5,282,0.5
100,0 days 01:40:04.264000,24.3,60.6,1017.8,False,27.5,283,0.4
102,0 days 01:42:04.292000,24.3,61.3,1017.8,False,27.5,276,0.3
103,0 days 01:43:04.276000,24.3,61.0,1017.9,False,27.3,289,0.4
105,0 days 01:45:04.472000,24.3,61.5,1017.9,False,27.3,277,0.4
106,0 days 01:46:04.275000,24.3,61.5,1017.9,False,27.2,303,0.3
108,0 days 01:48:04.282000,24.3,61.6,1017.8,False,27.3,287,0.4
110,0 days 01:50:04.276000,24.3,61.7,1017.8,False,27.2,301,0.3
111,0 days 01:51:04.275000,24.3,61.9,1017.8,False,27.2,283,0.3
113,0 days 01:53:04.275000,24.1,62.1,1017.8,False,27.0,285,0.4
114,0 days 01:54:04.277000,24.2,62.4,1017.8,False,27.0,278,0.4
116,0 days 01:56:04.278000,24.2,62.7,1017.8,False,26.8,281,0.3
118,0 days 01:58:04.277000,23.9,63.0,1017.9,False,26.6,283,0.4
119,0 days 01:59:04.280000,23.9,63.6,1017.9,False,26.6,280,0.3
121,0 days 02:01:04.276000,23.8,64.2,1017.9,False,26.4,287,0.3
122,0 days 02:02:04.285000,23.8,64.2,1017.9,False,26.4,287,0.3
124,0 days 02:04:04.279000,23.8,64.3,1018.0,False,26.3,281,0.3
125,0 days 02:05:04.285000,23.8,64.4,1017.9,False,26.4,307,0.4
127,0 days 02:07:04.278000,23.8,64.6,1018.0,False,26.3,282,0.4
128,0 days 02:08:04.277000,23.8,64.6,1018.0,False,26.3,282,0.4
130,0 days 02:10:04.281000,23.7,64.6,1018.0,False,26.3,282,0.3
131,0 days 02:11:04.280000,23.7,64.6,1017.9,False,26.3,325,0.3
133,0 days 02:13:04.284000,23.8,64.8,1018.0,False,26.3,280,0.2
134,0 days 02:14:04.279000,23.8,64.8,1018.0,False,26.3,280,0.2
136,0 days 02:16:04.276000,23.8,64.9,1018.0,False,26.3,281,0.3
137,0 days 02:17:04.276000,23.8,64.7,1018.0,False,26.2,286,0.3
138,0 days 02:18:04.277000,23.8,64.7,1018.0,False,26.2,286,0.3
140,0 days 02:20:04.275000,23.8,64.7,1018.1,False,26.2,280,0.4
141,0 days 02:21:04.279000,23.8,64.3,1017.9,False,25.9,292,0.3
143,0 days 02:23:04.275000,23.7,64.6,1018.0,False,26.0,281,0.2
145,0 days 02:25:04.305000,23.7,64.5,1018.1,False,25.8,317,0.3
147,0 days 02:27:04.326000,23.7,64.1,1018.1,False,25.9,346,0.4
149,0 days 02:29:04.332000,23.7,64.6,1018.1,False,25.8,273,0.4
152,0 days 02:32:04.327000,23.6,64.9,1018.0,False,25.8,275,0.3
63,0 days 01:03:04.027000,24.6,58.0,1017.6,False,28.4,276,0.4
64,0 days 01:04:04.026000,24.6,58.0,1017.6,False,28.4,276,0.4
66,0 days 01:06:04.030000,24.6,57.6,1017.7,False,28.7,308,0.3
68,0 days 01:08:04.042000,24.5,57.5,1017.8,False,28.4,286,0.6
69,0 days 01:09:04.041000,24.5,58.3,1017.7,False,28.4,331,0.5
71,0 days 01:11:04.042000,24.5,58.1,1017.7,False,28.2,282,0.4
72,0 days 01:12:04.066000,24.5,58.1,1017.7,False,28.2,282,0.4
74,0 days 01:14:04.095000,24.5,58.0,1017.8,False,28.1,276,0.5
75,0 days 01:15:04.105000,24.5,58.3,1017.8,False,28.1,334,0.4
77,0 days 01:17:04.119000,24.5,57.3,1017.7,False,28.4,336,0.4
78,0 days 01:18:04.138000,24.6,57.3,1017.7,False,28.4,336,0.4
80,0 days 01:20:04.135000,24.6,57.6,1017.8,False,28.2,273,0.4
81,0 days 01:21:04.153000,24.6,58.2,1017.7,False,28.2,277,0.5
83,0 days 01:23:04.160000,24.6,59.0,1017.7,False,27.9,296,0.4
84,0 days 01:24:04.152000,24.5,59.0,1017.7,False,27.8,282,0.5
86,0 days 01:26:04.181000,24.4,59.4,1017.7,False,27.8,288,0.5
87,0 days 01:27:04.199000,24.4,59.3,1017.8,False,27.6,292,0.5
89,0 days 01:29:04.204000,24.4,59.6,1017.9,False,27.5,290,0.5
91,0 days 01:31:04.202000,24.4,60.0,1017.8,False,27.5,280,0.5
92,0 days 01:32:04.224000,24.3,59.8,1017.9,False,27.5,282,0.4
94,0 days 01:34:04.244000,24.3,59.9,1017.9,False,27.5,279,0.3
95,0 days 01:35:04.271000,24.3,59.6,1017.8,False,27.6,284,0.5
97,0 days 01:37:04.259000,24.3,60.2,1017.9,False,27.5,275,0.4
98,0 days 01:38:04.264000,24.3,60.1,1017.8,False,27.5,301,0.3
100,0 days 01:40:04.264000,24.3,60.6,1017.8,False,27.5,283,0.4
101,0 days 01:41:04.267000,24.3,60.9,1017.8,False,27.5,276,0.4
103,0 days 01:43:04.276000,24.3,61.0,1017.9,False,27.3,289,0.4
104,0 days 01:44:04.274000,24.3,61.1,1017.8,False,27.3,281,0.4
106,0 days 01:46:04.275000,24.3,61.5,1017.9,False,27.2,303,0.3
107,0 days 01:47:04.279000,24.3,61.4,1017.8,False,27.3,296,0.3
109,0 days 01:49:04.276000,24.3,61.7,1017.8,False,27.2,301,0.3
110,0 days 01:50:04.276000,24.3,61.7,1017.8,False,27.2,301,0.3
112,0 days 01:52:04.281000,24.1,61.9,1017.8,False,27.2,283,0.3
113,0 days 01:53:04.275000,24.1,62.1,1017.8,False,27.0,285,0.4
