,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
121,0 days 02:01:35.122000,24.0,38.0,1009.5,False,39.5,284,3.2
123,0 days 02:03:35.113000,24.0,37.0,1009.4,False,40.1,283,3.3
125,0 days 02:05:35.115000,24.2,38.0,1009.4,False,40.5,289,3.3
126,0 days 02:06:35.116000,24.3,38.0,1009.5,False,40.5,315,3.2
129,0 days 02:09:35.120000,24.3,37.0,1009.6,False,39.7,305,4.1
131,0 days 02:11:35.152000,24.3,38.0,1009.5,False,39.6,313,4.7
133,0 days 02:13:35.166000,24.1,38.0,1009.3,False,39.6,296,4.9
134,0 days 02:14:35.200000,24.0,38.0,1009.5,False,39.7,284,3.2
136,0 days 02:16:35.239000,24.1,38.0,1009.3,False,39.9,329,3.3
137,0 days 02:17:35.236000,24.0,37.0,1009.5,False,39.9,308,4.0
139,0 days 02:19:35.246000,24.0,37.0,1009.4,False,39.3,287,3.1
140,0 days 02:20:35.247000,24.0,36.0,1009.5,False,39.3,282,3.9
141,0 days 02:21:35.259000,24.0,38.0,1009.4,False,39.5,282,3.8
143,0 days 02:23:35.255000,23.9,37.0,1009.3,False,39.4,298,3.9
144,0 days 02:24:35.256000,24.0,37.0,1009.3,False,39.4,310,3.3
145,0 days 02:25:35.258000,23.9,37.0,1009.4,False,39.0,297,3.3
147,0 days 02:27:35.271000,23.8,37.0,1009.3,False,38.6,301,1.7
56,0 days 00:56:34.953000,24.0,39.0,1009.9,False,45.0,298,3.4
57,0 days 00:57:34.970000,24.0,39.0,1010.0,False,45.2,266,3.5
59,0 days 00:59:34.956000,24.0,39.0,1009.9,False,45.4,280,2.6
60,0 days 01:00:34.941000,24.1,38.0,1009.9,False,44.8,286,4.1
62,0 days 01:02:34.957000,23.9,38.0,1010.0,False,43.4,286,3.0
63,0 days 01:03:34.984000,23.9,40.0,1010.0,False,43.4,279,1.5
64,0 days 01:04:34.971000,23.8,40.0,1009.9,False,43.5,277,2.4
66,0 days 01:06:34.953000,24.0,39.0,1010.1,False,43.1,284,3.3
67,0 days 01:07:34.982000,24.1,39.0,1009.8,False,43.2,309,3.6
68,0 days 01:08:34.963000,24.0,40.0,1009.8,False,43.2,120,3.0
70,0 days 01:10:34.951000,24.2,39.0,1009.7,False,42.7,297,3.1
71,0 days 01:11:34.990000,24.2,39.0,1009.7,False,42.9,297,4.1
73,0 days 01:13:35.037000,24.1,38.0,1009.9,False,42.7,286,3.9
74,0 days 01:14:35.004000,24.1,39.0,1009.8,False,42.5,342,3.7
75,0 days 01:15:35.063000,24.1,39.0,1009.7,False,42.7,302,2.6
77,0 days 01:17:35.018000,24.0,39.0,1009.6,False,42.5,300,3.1
78,0 days 01:18:35.035000,24.2,39.0,1009.8,False,42.5,353,3.1
79,0 days 01:19:35.028000,24.1,39.0,1009.8,False,42.5,235,3.5
81,0 days 01:21:35.070000,24.3,39.0,1009.9,False,41.7,284,4.8
82,0 days 01:22:35.045000,24.1,39.0,1009.9,False,41.7,243,3.2
84,0 days 01:24:35.110000,23.9,40.0,1009.8,False,41.6,329,2.9
85,0 days 01:25:35.055000,23.9,40.0,1009.9,False,41.8,265,2.1
86,0 days 01:26:35.062000,23.8,38.0,1009.9,False,41.7,285,2.7
88,0 days 01:28:35.068000,23.8,40.0,1009.7,False,41.6,288,1.8
89,0 days 01:29:35.076000,23.8,39.0,1009.6,False,41.8,328,2.5
91,0 days 01:31:35.101000,24.2,40.0,1009.6,False,41.5,63,2.5
92,0 days 01:32:35.097000,24.1,38.0,1009.6,False,41.8,344,2.6
93,0 days 01:33:35.107000,24.0,39.0,1009.7,False,41.8,318,1.4
95,0 days 01:35:35.118000,24.3,38.0,1009.6,False,41.7,286,2.4
97,0 days 01:37:35.090000,24.3,37.0,1009.7,False,40.9,294,3.8
99,0 days 01:39:35.104000,24.0,38.0,1009.7,False,41.6,282,3.8
100,0 days 01:40:35.111000,24.0,38.0,1009.8,False,41.9,292,2.0
101,0 days 01:41:35.104000,23.9,38.0,1009.7,False,41.9,216,3.2
103,0 days 01:43:35.118000,24.2,38.0,1009.6,False,41.4,286,3.9
104,0 days 01:44:35.104000,24.2,38.0,1009.6,False,41.3,286,4.2
105,0 days 01:45:35.106000,24.1,38.0,1009.7,False,41.2,90,3.0
107,0 days 01:47:35.110000,24.1,39.0,1009.7,False,39.9,322,3.0
108,0 days 01:48:35.103000,24.0,39.0,1009.7,False,38.9,288,2.1
110,0 days 01:50:35.133000,23.9,39.0,1009.5,False,39.3,331,2.4
111,0 days 01:51:35.122000,23.7,38.0,1009.3,False,39.8,318,2.9
112,0 days 01:52:35.124000,23.8,38.0,1009.6,False,39.3,272,3.9
114,0 days 01:54:35.123000,24.0,38.0,1009.6,False,38.7,292,3.4
115,0 days 01:55:35.132000,24.0,38.0,1009.5,False,39.4,296,1.9
116,0 days 01:56:35.139000,24.0,38.0,1009.6,False,39.7,251,2.5
118,0 days 01:58:35.127000,24.1,38.0,1009.5,False,40.1,291,2.9
119,0 days 01:59:35.121000,24.1,37.0,1009.6,False,40.1,288,2.6
121,0 days 02:01:35.122000,24.0,38.0,1009.5,False,39.5,284,3.2
123,0 days 02:03:35.113000,24.0,37.0,1009.4,False,40.1,283,3.3
124,0 days 02:04:35.128000,24.0,38.0,1009.4,False,40.1,332,2.6
126,0 days 02:06:35.116000,24.3,38.0,1009.5,False,40.5,315,3.2
128,0 days 02:08:35.114000,24.3,38.0,1009.5,False,40.1,294,3.3
130,0 days 02:10:35.139000,24.3,38.0,1009.3,False,39.7,302,4.4
132,0 days 02:12:35.163000,24.2,38.0,1009.6,False,39.6,287,4.7
134,0 days 02:14:35.200000,24.0,38.0,1009.5,False,39.7,284,3.2
136,0 days 02:16:35.239000,24.1,38.0,1009.3,False,39.9,329,3.3
137,0 days 02:17:35.236000,24.0,37.0,1009.5,False,39.9,308,4.0
139,0 days 02:19:35.246000,24.0,37.0,1009.4,False,39.3,287,3.1
140,0 days 02:20:35.247000,24.0,36.0,1009.5,False,39.3,282,3.9
141,0 days 02:21:35.259000,24.0,38.0,1009.4,False,39.5,282,3.8
143,0 days 02:23:35.255000,23.9,37.0,1009.3,False,39.4,298,3.9
144,0 days 02:24:35.256000,24.0,37.0,1009.3,False,39.4,310,3.3
145,0 days 02:25:35.258000,23.9,37.0,1009.4,False,39.0,297,3.3
147,0 days 02:27:35.271000,23.8,37.0,1009.3,False,38.6,301,1.7
56,0 days 00:56:34.953000,24.0,39.0,1009.9,False,45.0,298,3.4
57,0 days 00:57:34.970000,24.0,39.0,1010.0,False,45.2,266,3.5
59,0 days 00:59:34.956000,24.0,39.0,1009.9,False,45.4,280,2.6
60,0 days 01:00:34.941000,24.1,38.0,1009.9,False,44.8,286,4.1
61,0 days 01:01:34.954000,24.0,38.0,1010.0,False,44.7,241,4.6
63,0 days 01:03:34.984000,23.9,40.0,1010.0,False,43.4,279,1.5
64,0 days 01:04:34.971000,23.8,40.0,1009.9,False,43.5,277,2.4
66,0 days 01:06:34.953000,24.0,39.0,1010.1,False,43.1,284,3.3
67,0 days 01:07:34.982000,24.1,39.0,1009.8,False,43.2,309,3.6
68,0 days 01:08:34.963000,24.0,40.0,1009.8,False,43.2,120,3.0
70,0 days 01:10:34.951000,24.2,39.0,1009.7,False,42.7,297,3.1
71,0 days 01:11:34.990000,24.2,39.0,1009.7,False,42.9,297,4.1
72,0 days 01:12:35.056000,24.1,38.0,1010.0,False,42.9,315,4.6
74,0 days 01:14:35.004000,24.1,39.0,1009.8,False,42.5,342,3.7
75,0 days 01:15:35.063000,24.1,39.0,1009.7,False,42.7,302,2.6
77,0 days 01:17:35.018000,24.0,39.0,1009.6,False,42.5,300,3.1
78,0 days 01:18:35.035000,24.2,39.0,1009.8,False,42.5,353,3.1
79,0 days 01:19:35.028000,24.1,39.0,1009.8,False,42.5,235,3.5
81,0 days 01:21:35.070000,24.3,39.0,1009.9,False,41.7,284,4.8
82,0 days 01:22:35.045000,24.1,39.0,1009.9,False,41.7,243,3.2
83,0 days 01:23:35.065000,24.0,40.0,1010.0,False,41.7,314,3.2
85,0 days 01:25:35.055000,23.9,40.0,1009.9,False,41.8,265,2.1
86,0 days 01:26:35.062000,23.8,38.0,1009.9,False,41.7,285,2.7
87,0 days 01:27:35.057000,23.8,40.0,1009.8,False,41.7,268,3.3
89,0 days 01:29:35.076000,23.8,39.0,1009.6,False,41.8,328,2.5
90,0 days 01:30:35.070000,24.0,38.0,1009.7,False,41.4,132,2.7
92,0 days 01:32:35.097000,24.1,38.0,1009.6,False,41.8,344,2.6
93,0 days 01:33:35.107000,24.0,39.0,1009.7,False,41.8,318,1.4
94,0 days 01:34:35.114000,24.2,37.0,1009.6,False,41.8,289,2.9
96,0 days 01:36:35.128000,24.2,37.0,1009.7,False,40.9,276,3.0
98,0 days 01:38:35.099000,24.2,37.0,1009.6,False,41.3,288,3.4
100,0 days 01:40:35.111000,24.0,38.0,1009.8,False,41.9,292,2.0
101,0 days 01:41:35.104000,23.9,38.0,1009.7,False,41.9,216,3.2
102,0 days 01:42:35.105000,24.0,37.0,1009.7,False,41.6,328,2.8
104,0 days 01:44:35.104000,24.2,38.0,1009.6,False,41.3,286,4.2
105,0 days 01:45:35.106000,24.1,38.0,1009.7,False,41.2,90,3.0
106,0 days 01:46:35.108000,24.1,39.0,1009.7,False,40.9,244,3.5
108,0 days 01:48:35.103000,24.0,39.0,1009.7,False,38.9,288,2.1
109,0 days 01:49:35.108000,23.9,39.0,1009.7,False,38.6,123,3.1
110,0 days 01:50:35.133000,23.9,39.0,1009.5,False,39.3,331,2.4
112,0 days 01:52:35.124000,23.8,38.0,1009.6,False,39.3,272,3.9
113,0 days 01:53:35.108000,24.0,38.0,1009.5,False,38.7,300,3.1
114,0 days 01:54:35.123000,24.0,38.0,1009.6,False,38.7,292,3.4
116,0 days 01:56:35.139000,24.0,38.0,1009.6,False,39.7,251,2.5
117,0 days 01:57:35.124000,24.1,38.0,1009.6,False,39.7,228,3.1
118,0 days 01:58:35.127000,24.1,38.0,1009.5,False,40.1,291,2.9
120,0 days 02:00:35.125000,24.1,38.0,1009.7,False,39.4,291,4.1
122,0 days 02:02:35.126000,24.0,38.0,1009.5,False,39.6,323,3.5
124,0 days 02:04:35.128000,24.0,38.0,1009.4,False,40.1,332,2.6
126,0 days 02:06:35.116000,24.3,38.0,1009.5,False,40.5,315,3.2
128,0 days 02:08:35.114000,24.3,38.0,1009.5,False,40.1,294,3.3
130,0 days 02:10:35.139000,24.3,38.0,1009.3,False,39.7,302,4.4
132,0 days 02:12:35.163000,24.2,38.0,1009.6,False,39.6,287,4.7
134,0 days 02:14:35.200000,24.0,38.0,1009.5,False,39.7,284,3.2
136,0 days 02:16:35.239000,24.1,38.0,1009.3,False,39.9,329,3.3
137,0 days 02:17:35.236000,24.0,37.0,1009.5,False,39.9,308,4.0
138,0 days 02:18:35.260000,24.0,37.0,1009.3,False,39.7,324,3.7
140,0 days 02:20:35.247000,24.0,36.0,1009.5,False,39.3,282,3.9
141,0 days 02:21:35.259000,24.0,38.0,1009.4,False,39.5,282,3.8
142,0 days 02:22:35.257000,24.0,38.0,1009.3,False,39.5,336,2.0
144,0 days 02:24:35.256000,24.0,37.0,1009.3,False,39.4,310,3.3
145,0 days 02:25:35.258000,23.9,37.0,1009.4,False,39.0,297,3.3
146,0 days 02:26:35.259000,23.9,37.0,1009.5,False,38.9,328,2.9
56,0 days 00:56:34.953000,24.0,39.0,1009.9,False,45.0,298,3.4
57,0 days 00:57:34.970000,24.0,39.0,1010.0,False,45.2,266,3.5
59,0 days 00:59:34.956000,24.0,39.0,1009.9,False,45.4,280,2.6
60,0 days 01:00:34.941000,24.1,38.0,1009.9,False,44.8,286,4.1
62,0 days 01:02:34.957000,23.9,38.0,1010.0,False,43.4,286,3.0
63,0 days 01:03:34.984000,23.9,40.0,1010.0,False,43.4,279,1.5
64,0 days 01:04:34.971000,23.8,40.0,1009.9,False,43.5,277,2.4
66,0 days 01:06:34.953000,24.0,39.0,1010.1,False,43.1,284,3.3
67,0 days 01:07:34.982000,24.1,39.0,1009.8,False,43.2,309,3.6
68,0 days 01:08:34.963000,24.0,40.0,1009.8,False,43.2,120,3.0
70,0 days 01:10:34.951000,24.2,39.0,1009.7,False,42.7,297,3.1
71,0 days 01:11:34.990000,24.2,39.0,1009.7,False,42.9,297,4.1
73,0 days 01:13:35.037000,24.1,38.0,1009.9,False,42.7,286,3.9
74,0 days 01:14:35.004000,24.1,39.0,1009.8,False,42.5,342,3.7
75,0 days 01:15:35.063000,24.1,39.0,1009.7,False,42.7,302,2.6
77,0 days 01:17:35.018000,24.0,39.0,1009.6,False,42.5,300,3.1
78,0 days 01:18:35.035000,24.2,39.0,1009.8,False,42.5,353,3.1
79,0 days 01:19:35.028000,24.1,39.0,1009.8,False,42.5,235,3.5
81,0 days 01:21:35.070000,24.3,39.0,1009.9,False,41.7,284,4.8
82,0 days 01:22:35.045000,24.1,39.0,1009.9,False,41.7,243,3.2
84,0 days 01:24:35.110000,23.9,40.0,1009.8,False,41.6,329,2.9
85,0 days 01:25:35.055000,23.9,40.0,1009.9,False,41.8,265,2.1
86,0 days 01:26:35.062000,23.8,38.0,1009.9,False,41.7,285,2.7
88,0 days 01:28:35.068000,23.8,40.0,1009.7,False,41.6,288,1.8
89,0 days 01:29:35.076000,23.8,39.0,1009.6,False,41.8,328,2.5
90,0 days 01:30:35.070000,24.0,38.0,1009.7,False,41.4,132,2.7
92,0 days 01:32:35.097000,24.1,38.0,1009.6,False,41.8,344,2.6
93,0 days 01:33:35.107000,24.0,39.0,1009.7,False,41.8,318,1.4
95,0 days 01:35:35.118000,24.3,38.0,1009.6,False,41.7,286,2.4
96,0 days 01:36:35.128000,24.2,37.0,1009.7,False,40.9,276,3.0
99,0 days 01:39:35.104000,24.0,38.0,1009.7,False,41.6,282,3.8
100,0 days 01:40:35.111000,24.0,38.0,1009.8,False,41.9,292,2.0
101,0 days 01:41:35.104000,23.9,38.0,1009.7,False,41.9,216,3.2
103,0 days 01:43:35.118000,24.2,38.0,1009.6,False,41.4,286,3.9
104,0 days 01:44:35.104000,24.2,38.0,1009.6,False,41.3,286,4.2
105,0 days 01:45:35.106000,24.1,38.0,1009.7,False,41.2,90,3.0
107,0 days 01:47:35.110000,24.1,39.0,1009.7,False,39.9,322,3.0
108,0 days 01:48:35.103000,24.0,39.0,1009.7,False,38.9,288,2.1
110,0 days 01:50:35.133000,23.9,39.0,1009.5,False,39.3,331,2.4
111,0 days 01:51:35.122000,23.7,38.0,1009.3,False,39.8,318,2.9
112,0 days 01:52:35.124000,23.8,38.0,1009.6,False,39.3,272,3.9
114,0 days 01:54:35.123000,24.0,38.0,1009.6,False,38.7,292,3.4
115,0 days 01:55:35.132000,24.0,38.0,1009.5,False,39.4,296,1.9
116,0 days 01:56:35.139000,24.0,38.0,1009.6,False,39.7,251,2.5
118,0 days 01:58:35.127000,24.1,38.0,1009.5,False,40.1,291,2.9
119,0 days 01:59:35.121000,24.1,37.0,1009.6,False,40.1,288,2.6
121,0 days 02:01:35.122000,24.0,38.0,1009.5,False,39.5,284,3.2
123,0 days 02:03:35.113000,24.0,37.0,1009.4,False,40.1,283,3.3
124,0 days 02:04:35.128000,24.0,38.0,1009.4,False,40.1,332,2.6
126,0 days 02:06:35.116000,24.3,38.0,1009.5,False,40.5,315,3.2
128,0 days 02:08:35.114000,24.3,38.0,1009.5,False,40.1,294,3.3
130,0 days 02:10:35.139000,24.3,38.0,1009.3,False,39.7,302,4.4
132,0 days 02:12:35.163000,24.2,38.0,1009.6,False,39.6,287,4.7
134,0 days 02:14:35.200000,24.0,38.0,1009.5,False,39.7,284,3.2
136,0 days 02:16:35.239000,24.1,38.0,1009.3,False,39.9,329,3.3
137,0 days 02:17:35.236000,24.0,37.0,1009.5,False,39.9,308,4.0
139,0 days 02:19:35.246000,24.0,37.0,1009.4,False,39.3,287,3.1
140,0 days 02:20:35.247000,24.0,36.0,1009.5,False,39.3,282,3.9
141,0 days 02:21:35.259000,24.0,38.0,1009.4,False,39.5,282,3.8
143,0 days 02:23:35.255000,23.9,37.0,1009.3,False,39.4,298,3.9
144,0 days 02:24:35.256000,24.0,37.0,1009.3,False,39.4,310,3.3
145,0 days 02:25:35.258000,23.9,37.0,1009.4,False,39.0,297,3.3
147,0 days 02:27:35.271000,23.8,37.0,1009.3,False,38.6,301,1.7
56,0 days 00:56:34.953000,24.0,39.0,1009.9,False,45.0,298,3.4
57,0 days 00:57:34.970000,24.0,39.0,1010.0,False,45.2,266,3.5
59,0 days 00:59:34.956000,24.0,39.0,1009.9,False,45.4,280,2.6
60,0 days 01:00:34.941000,24.1,38.0,1009.9,False,44.8,286,4.1
62,0 days 01:02:34.957000,23.9,38.0,1010.0,False,43.4,286,3.0
63,0 days 01:03:34.984000,23.9,40.0,1010.0,False,43.4,279,1.5
64,0 days 01:04:34.971000,23.8,40.0,1009.9,False,43.5,277,2.4
66,0 days 01:06:34.953000,24.0,39.0,1010.1,False,43.1,284,3.3
67,0 days 01:07:34.982000,24.1,39.0,1009.8,False,43.2,309,3.6
68,0 days 01:08:34.963000,24.0,40.0,1009.8,False,43.2,120,3.0
70,0 days 01:10:34.951000,24.2,39.0,1009.7,False,42.7,297,3.1
72,0 days 01:12:35.056000,24.1,38.0,1010.0,False,42.9,315,4.6
73,0 days 01:13:35.037000,24.1,38.0,1009.9,False,42.7,286,3.9
74,0 days 01:14:35.004000,24.1,39.0,1009.8,False,42.5,342,3.7
76,0 days 01:16:35.014000,24.0,39.0,1009.8,False,42.8,305,2.5
77,0 days 01:17:35.018000,24.0,39.0,1009.6,False,42.5,300,3.1
78,0 days 01:18:35.035000,24.2,39.0,1009.8,False,42.5,353,3.1
80,0 days 01:20:35.035000,24.3,39.0,1009.9,False,42.3,290,1.6
81,0 days 01:21:35.070000,24.3,39.0,1009.9,False,41.7,284,4.8
83,0 days 01:23:35.065000,24.0,40.0,1010.0,False,41.7,314,3.2
84,0 days 01:24:35.110000,23.9,40.0,1009.8,False,41.6,329,2.9
85,0 days 01:25:35.055000,23.9,40.0,1009.9,False,41.8,265,2.1
87,0 days 01:27:35.057000,23.8,40.0,1009.8,False,41.7,268,3.3
88,0 days 01:28:35.068000,23.8,40.0,1009.7,False,41.6,288,1.8
89,0 days 01:29:35.076000,23.8,39.0,1009.6,False,41.8,328,2.5
91,0 days 01:31:35.101000,24.2,40.0,1009.6,False,41.5,63,2.5
92,0 days 01:32:35.097000,24.1,38.0,1009.6,False,41.8,344,2.6
94,0 days 01:34:35.114000,24.2,37.0,1009.6,False,41.8,289,2.9
95,0 days 01:35:35.118000,24.3,38.0,1009.6,False,41.7,286,2.4
97,0 days 01:37:35.090000,24.3,37.0,1009.7,False,40.9,294,3.8
99,0 days 01:39:35.104000,24.0,38.0,1009.7,False,41.6,282,3.8
100,0 days 01:40:35.111000,24.0,38.0,1009.8,False,41.9,292,2.0
102,0 days 01:42:35.105000,24.0,37.0,1009.7,False,41.6,328,2.8
103,0 days 01:43:35.118000,24.2,38.0,1009.6,False,41.4,286,3.9
104,0 days 01:44:35.104000,24.2,38.0,1009.6,False,41.3,286,4.2
106,0 days 01:46:35.108000,24.1,39.0,1009.7,False,40.9,244,3.5
107,0 days 01:47:35.110000,24.1,39.0,1009.7,False,39.9,322,3.0
108,0 days 01:48:35.103000,24.0,39.0,1009.7,False,38.9,288,2.1
110,0 days 01:50:35.133000,23.9,39.0,1009.5,False,39.3,331,2.4
111,0 days 01:51:35.122000,23.7,38.0,1009.3,False,39.8,318,2.9
112,0 days 01:52:35.124000,23.8,38.0,1009.6,False,39.3,272,3.9
114,0 days 01:54:35.123000,24.0,38.0,1009.6,False,38.7,292,3.4
115,0 days 01:55:35.132000,24.0,38.0,1009.5,False,39.4,296,1.9
117,0 days 01:57:35.124000,24.1,38.0,1009.6,False,39.7,228,3.1
118,0 days 01:58:35.127000,24.1,38.0,1009.5,False,40.1,291,2.9
119,0 days 01:59:35.121000,24.1,37.0,1009.6,False,40.1,288,2.6
121,0 days 02:01:35.122000,24.0,38.0,1009.5,False,39.5,284,3.2
123,0 days 02:03:35.113000,24.0,37.0,1009.4,False,40.1,283,3.3
125,0 days 02:05:35.115000,24.2,38.0,1009.4,False,40.5,289,3.3
126,0 days 02:06:35.116000,24.3,38.0,1009.5,False,40.5,315,3.2
128,0 days 02:08:35.114000,24.3,38.0,1009.5,False,40.1,294,3.3
131,0 days 02:11:35.152000,24.3,38.0,1009.5,False,39.6,313,4.7
133,0 days 02:13:35.166000,24.1,38.0,1009.3,False,39.6,296,4.9
134,0 days 02:14:35.200000,24.0,38.0,1009.5,False,39.7,284,3.2
136,0 days 02:16:35.239000,24.1,38.0,1009.3,False,39.9,329,3.3
137,0 days 02:17:35.236000,24.0,37.0,1009.5,False,39.9,308,4.0
139,0 days 02:19:35.246000,24.0,37.0,1009.4,False,39.3,287,3.1
140,0 days 02:20:35.247000,24.0,36.0,1009.5,False,39.3,282,3.9
141,0 days 02:21:35.259000,24.0,38.0,1009.4,False,39.5,282,3.8
143,0 days 02:23:35.255000,23.9,37.0,1009.3,False,39.4,298,3.9
144,0 days 02:24:35.256000,24.0,37.0,1009.3,False,39.4,310,3.3
145,0 days 02:25:35.258000,23.9,37.0,1009.4,False,39.0,297,3.3
147,0 days 02:27:35.271000,23.8,37.0,1009.3,False,38.6,301,1.7
56,0 days 00:56:34.953000,24.0,39.0,1009.9,False,45.0,298,3.4
58,0 days 00:58:34.953000,24.1,39.0,1010.0,False,45.3,296,3.8
59,0 days 00:59:34.956000,24.0,39.0,1009.9,False,45.4,280,2.6
61,0 days 01:01:34.954000,24.0,38.0,1010.0,False,44.7,241,4.6
62,0 days 01:02:34.957000,23.9,38.0,1010.0,False,43.4,286,3.0
63,0 days 01:03:34.984000,23.9,40.0,1010.0,False,43.4,279,1.5
65,0 days 01:05:34.950000,23.9,39.0,1009.8,False,43.2,317,4.3
66,0 days 01:06:34.953000,24.0,39.0,1010.1,False,43.1,284,3.3
67,0 days 01:07:34.982000,24.1,39.0,1009.8,False,43.2,309,3.6
69,0 days 01:09:34.961000,24.0,38.0,1009.8,False,43.2,251,2.2
70,0 days 01:10:34.951000,24.2,39.0,1009.7,False,42.7,297,3.1
72,0 days 01:12:35.056000,24.1,38.0,1010.0,False,42.9,315,4.6
73,0 days 01:13:35.037000,24.1,38.0,1009.9,False,42.7,286,3.9
74,0 days 01:14:35.004000,24.1,39.0,1009.8,False,42.5,342,3.7
76,0 days 01:16:35.014000,24.0,39.0,1009.8,False,42.8,305,2.5
77,0 days 01:17:35.018000,24.0,39.0,1009.6,False,42.5,300,3.1
78,0 days 01:18:35.035000,24.2,39.0,1009.8,False,42.5,353,3.1
80,0 days 01:20:35.035000,24.3,39.0,1009.9,False,42.3,290,1.6
81,0 days 01:21:35.070000,24.3,39.0,1009.9,False,41.7,284,4.8
83,0 days 01:23:35.065000,24.0,40.0,1010.0,False,41.7,314,3.2
84,0 days 01:24:35.110000,23.9,40.0,1009.8,False,41.6,329,2.9
85,0 days 01:25:35.055000,23.9,40.0,1009.9,False,41.8,265,2.1
87,0 days 01:27:35.057000,23.8,40.0,1009.8,False,41.7,268,3.3
88,0 days 01:28:35.068000,23.8,40.0,1009.7,False,41.6,288,1.8
89,0 days 01:29:35.076000,23.8,39.0,1009.6,False,41.8,328,2.5
91,0 days 01:31:35.101000,24.2,40.0,1009.6,False,41.5,63,2.5
92,0 days 01:32:35.097000,24.1,38.0,1009.6,False,41.8,344,2.6
93,0 days 01:33:35.107000,24.0,39.0,1009.7,False,41.8,318,1.4
56,0 days 00:56:34.953000,24.0,39.0,1009.9,False,45.0,298,3.4
57,0 days 00:57:34.970000,24.0,39.0,1010.0,False,45.2,266,3.5
59,0 days 00:59:34.956000,24.0,39.0,1009.9,False,45.4,280,2.6
60,0 days 01:00:34.941000,24.1,38.0,1009.9,False,44.8,286,4.1
61,0 days 01:01:34.954000,24.0,38.0,1010.0,False,44.7,241,4.6
63,0 days 01:03:34.984000,23.9,40.0,1010.0,False,43.4,279,1.5
64,0 days 01:04:34.971000,23.8,40.0,1009.9,False,43.5,277,2.4
65,0 days 01:05:34.950000,23.9,39.0,1009.8,False,43.2,317,4.3
67,0 days 01:07:34.982000,24.1,39.0,1009.8,False,43.2,309,3.6
68,0 days 01:08:34.963000,24.0,40.0,1009.8,False,43.2,120,3.0
70,0 days 01:10:34.951000,24.2,39.0,1009.7,False,42.7,297,3.1
71,0 days 01:11:34.990000,24.2,39.0,1009.7,False,42.9,297,4.1
72,0 days 01:12:35.056000,24.1,38.0,1010.0,False,42.9,315,4.6
74,0 days 01:14:35.004000,24.1,39.0,1009.8,False,42.5,342,3.7
75,0 days 01:15:35.063000,24.1,39.0,1009.7,False,42.7,302,2.6
76,0 days 01:16:35.014000,24.0,39.0,1009.8,False,42.8,305,2.5
78,0 days 01:18:35.035000,24.2,39.0,1009.8,False,42.5,353,3.1
79,0 days 01:19:35.028000,24.1,39.0,1009.8,False,42.5,235,3.5
80,0 days 01:20:35.035000,24.3,39.0,1009.9,False,42.3,290,1.6
82,0 days 01:22:35.045000,24.1,39.0,1009.9,False,41.7,243,3.2
83,0 days 01:23:35.065000,24.0,40.0,1010.0,False,41.7,314,3.2
85,0 days 01:25:35.055000,23.9,40.0,1009.9,False,41.8,265,2.1
86,0 days 01:26:35.062000,23.8,38.0,1009.9,False,41.7,285,2.7
87,0 days 01:27:35.057000,23.8,40.0,1009.8,False,41.7,268,3.3
89,0 days 01:29:35.076000,23.8,39.0,1009.6,False,41.8,328,2.5
90,0 days 01:30:35.070000,24.0,38.0,1009.7,False,41.4,132,2.7
91,0 days 01:31:35.101000,24.2,40.0,1009.6,False,41.5,63,2.5
93,0 days 01:33:35.107000,24.0,39.0,1009.7,False,41.8,318,1.4
94,0 days 01:34:35.114000,24.2,37.0,1009.6,False,41.8,289,2.9
96,0 days 01:36:35.128000,24.2,37.0,1009.7,False,40.9,276,3.0
98,0 days 01:38:35.099000,24.2,37.0,1009.6,False,41.3,288,3.4
100,0 days 01:40:35.111000,24.0,38.0,1009.8,False,41.9,292,2.0
101,0 days 01:41:35.104000,23.9,38.0,1009.7,False,41.9,216,3.2
102,0 days 01:42:35.105000,24.0,37.0,1009.7,False,41.6,328,2.8
104,0 days 01:44:35.104000,24.2,38.0,1009.6,False,41.3,286,4.2
105,0 days 01:45:35.106000,24.1,38.0,1009.7,False,41.2,90,3.0
106,0 days 01:46:35.108000,24.1,39.0,1009.7,False,40.9,244,3.5
108,0 days 01:48:35.103000,24.0,39.0,1009.7,False,38.9,288,2.1
109,0 days 01:49:35.108000,23.9,39.0,1009.7,False,38.6,123,3.1
110,0 days 01:50:35.133000,23.9,39.0,1009.5,False,39.3,331,2.4
112,0 days 01:52:35.124000,23.8,38.0,1009.6,False,39.3,272,3.9
113,0 days 01:53:35.108000,24.0,38.0,1009.5,False,38.7,300,3.1
114,0 days 01:54:35.123000,24.0,38.0,1009.6,False,38.7,292,3.4
116,0 days 01:56:35.139000,24.0,38.0,1009.6,False,39.7,251,2.5
117,0 days 01:57:35.124000,24.1,38.0,1009.6,False,39.7,228,3.1
118,0 days 01:58:35.127000,24.1,38.0,1009.5,False,40.1,291,2.9
120,0 days 02:00:35.125000,24.1,38.0,1009.7,False,39.4,291,4.1
122,0 days 02:02:35.126000,24.0,38.0,1009.5,False,39.6,323,3.5
124,0 days 02:04:35.128000,24.0,38.0,1009.4,False,40.1,332,2.6
126,0 days 02:06:35.116000,24.3,38.0,1009.5,False,40.5,315,3.2
128,0 days 02:08:35.114000,24.3,38.0,1009.5,False,40.1,294,3.3
